customer_id,age,tenure_months,num_products,avg_order_value_eur,support_tickets_90d,days_since_last_order,region,event_date,churn_label
CUST-000001,49,54,7,20.65,4,8,EE,2026-04-02,0
CUST-000002,23,42,3,236.84,3,15,DACH,2026-04-14,0
CUST-000003,50,111,1,178.04,3,147,BENELUX,2026-03-29,1
CUST-000004,66,65,7,48.79,7,23,BENELUX,2026-04-14,0
CUST-000005,57,46,1,90.31,6,140,EE,2026-03-28,1
CUST-000006,61,10,1,237.45,0,138,NORDIC,2026-03-26,0
CUST-000007,35,28,4,91.62,3,117,IBERIA,2026-04-21,1
CUST-000008,28,17,9,195.22,7,125,DACH,2026-04-11,1
CUST-000009,56,119,7,170.11,6,93,NORDIC,2026-04-07,1
CUST-000010,49,90,6,148.56,4,90,EE,2026-04-03,0
CUST-000011,39,48,6,225.68,5,6,BENELUX,2026-03-30,0
CUST-000012,54,81,12,163.41,6,34,IBERIA,2026-04-18,0
CUST-000013,71,39,5,225.92,8,93,EE,2026-04-14,1
CUST-000014,62,80,6,45.78,5,41,NORDIC,2026-04-17,0
CUST-000015,60,104,9,166.62,0,116,EE,2026-04-16,0
CUST-000016,59,100,6,37.63,1,100,DACH,2026-04-02,0
CUST-000017,37,81,6,130.48,2,23,NORDIC,2026-04-11,0
CUST-000018,20,20,11,46.84,0,52,IBERIA,2026-03-28,0
CUST-000019,30,80,1,135.52,4,118,EE,2026-04-17,1
CUST-000020,70,39,12,100.15,0,48,BENELUX,2026-04-16,0
CUST-000021,65,93,5,221.33,1,43,NORDIC,2026-04-21,0
CUST-000022,30,95,7,69.88,2,149,DACH,2026-04-03,0
CUST-000023,69,33,12,35.81,1,45,EE,2026-03-24,0
CUST-000024,28,5,6,127.37,5,168,NORDIC,2026-04-03,1
CUST-000025,36,73,8,157.82,0,6,NORDIC,2026-04-19,0
CUST-000026,38,18,5,110.56,3,39,DACH,2026-04-04,0
CUST-000027,31,116,5,189.13,1,29,BENELUX,2026-04-13,0
CUST-000028,48,103,2,62.5,8,93,EE,2026-03-28,1
CUST-000029,29,88,8,115.46,6,177,IBERIA,2026-04-19,1
CUST-000030,36,24,3,42.25,7,61,DACH,2026-04-17,0
CUST-000031,23,4,12,181.31,2,158,EE,2026-04-19,1
CUST-000032,36,29,10,216.93,0,23,EE,2026-04-20,0
CUST-000033,21,21,9,143.08,8,154,EE,2026-03-30,1
CUST-000034,44,9,5,205.24,6,173,BENELUX,2026-04-15,1
CUST-000035,54,15,10,23.48,1,173,BENELUX,2026-04-19,1
CUST-000036,38,86,7,241.58,3,49,BENELUX,2026-04-18,0
CUST-000037,66,57,7,222.03,2,59,IBERIA,2026-04-06,0
CUST-000038,22,7,8,34.99,4,178,BENELUX,2026-03-30,1
CUST-000039,25,71,9,201.39,1,158,IBERIA,2026-04-12,1
CUST-000040,25,5,4,184.7,5,7,BENELUX,2026-04-21,0
CUST-000041,69,98,5,154.22,3,69,IBERIA,2026-04-21,0
CUST-000042,51,64,8,195.93,1,65,NORDIC,2026-04-20,0
CUST-000043,40,106,12,51.07,7,116,IBERIA,2026-04-17,1
CUST-000044,66,29,12,64.11,1,96,IBERIA,2026-04-21,0
CUST-000045,49,107,11,133.39,3,169,DACH,2026-04-19,1
CUST-000046,67,84,12,192.43,0,80,DACH,2026-03-22,0
CUST-000047,21,25,7,108.75,6,52,IBERIA,2026-04-21,0
CUST-000048,56,2,5,109.61,5,152,EE,2026-03-25,1
CUST-000049,61,108,10,72.71,6,101,BENELUX,2026-03-28,1
